Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,48,1.215611696,0.09925045708,0.5845942303,0.6644237563,0.0543,0.05693856154,0.040725,0.4154057697,0.07493864453,0.1159989845
Aerospace/Defense,85,1.239816366,0.1006930554,0.797484489,0.4077142754,0.0456,0.1140462432,0.0342,0.202515511,0.08722718034,0.1287569159
Air Transport,18,1.021926389,0.08770681278,0.5268015355,0.3418882989,0.0418,0.06480852782,0.03135,0.4731984645,0.0610388555,0.1015682535
Apparel,50,0.93043,0.082253628,0.740743048,0.4888966086,0.0456,0.1418622201,0.0342,0.259256952,0.06979539087,0.1106592697
Auto & Truck,14,0.7928814815,0.0740557363,0.3384823226,0.3824458049,0.0418,0.1014691901,0.03135,0.6615176774,0.04580513681,0.08575263959
Auto Parts,52,1.166767333,0.09633933307,0.7145364199,0.4428055793,0.0456,0.1157466671,0.0342,0.2854635801,0.07860081659,0.1198010437
Bank (Money Center),10,0.7134388889,0.06932095778,0.3291121434,0.1828819673,0.0358,0.2600680361,0.02685,0.6708878566,0.04082770794,0.08058508366
Banks (Regional),633,0.569294229,0.06072993605,0.5665385224,0.2060468857,0.0358,0.2698599898,0.02685,0.4334614776,0.04604428891,0.08600092678
Beverage (Alcoholic),31,1.298832407,0.1042104115,0.7452928476,0.3348979542,0.0418,0.02547543823,0.03135,0.2547071524,0.08565234355,0.1271219238
Beverage (Soft),37,1.177247222,0.09696393444,0.809493912,0.5031595907,0.0456,0.03867348543,0.0342,0.190506088,0.08500702283,0.1264519532
Broadcasting,24,1.020249275,0.08760685681,0.4089134695,0.3728837818,0.0418,0.02543908938,0.03135,0.5910865305,0.0543541865,0.09462824456
Brokerage & Investment Banking,38,1.206132353,0.09868548824,0.2520613079,0.3207572664,0.0418,0.2246702327,0.03135,0.7479386921,0.04832267123,0.0883663384
Building Materials,42,1.095782906,0.0921086612,0.7519116685,0.3339983107,0.0418,0.1611244031,0.03135,0.2480883315,0.07703514631,0.1181755682
Business & Consumer Services,168,1.217834063,0.09938291017,0.7370020834,0.4486339286,0.0456,0.07597170267,0.0342,0.2629979166,0.0822399406,0.1235791744
Cable TV,14,1.132027273,0.09426882545,0.5858366378,0.2631513985,0.0418,0.0361126149,0.03135,0.4141633622,0.06821015316,0.1090134793
Chemical (Basic),39,1.549533951,0.1191522235,0.6006758457,0.5433484437,0.0456,0.07327341284,0.0342,0.3993241543,0.08522874867,0.1266821485
Chemical (Diversified),6,1.817388889,0.1351163778,0.731018616,0.3260013171,0.0418,0.03183485525,0.03135,0.268981384,0.1072051539,0.149498005
Chemical (Specialty),89,1.17027328,0.09654828751,0.7540320488,0.4232685676,0.0456,0.1070685851,0.0342,0.2459679512,0.08121260697,0.1225125988
Coal & Related Energy,23,1.168376111,0.09643521622,0.5973827237,0.5357721223,0.0456,0.01752574845,0.0342,0.4026172763,0.07137824297,0.1123025833
Computer Services,119,1.269570561,0.1024664055,0.7184739325,0.4169272215,0.0456,0.0874746823,0.0342,0.2815260675,0.08324763278,0.1246253582
Computers/Peripherals,57,1.679853249,0.1269192537,0.7991648299,0.498704282,0.0456,0.06604294527,0.0342,0.2008351701,0.1082979666,0.1506325608
Construction Supplies,48,1.452223704,0.1133525327,0.6854999361,0.3223667828,0.0418,0.1321446641,0.03135,0.3145000639,0.08756273096,0.1291052839
Diversified,23,1.359832164,0.107845997,0.7381766502,0.3946108662,0.0418,0.07407171686,0.03135,0.2618233498,0.08781755879,0.1293698456
Drugs (Biotechnology),481,1.511791203,0.1169027557,0.8408716189,0.6895656774,0.0543,0.009284194905,0.040725,0.1591283811,0.1047807127,0.1469809554
Drugs (Pharmaceutical),237,1.465290612,0.1141313205,0.8744106381,0.7244610103,0.0543,0.02259901097,0.040725,0.1255893619,0.1049122675,0.1471175353
Education,35,1.276715278,0.1028922306,0.7649329744,0.3765628419,0.0418,0.06138434689,0.03135,0.2350670256,0.08607501121,0.1275607364
Electrical Equipment,116,1.322529043,0.105622731,0.8187442781,0.5729175695,0.0456,0.04362984141,0.0342,0.1812557219,0.09267695229,0.1344148574
Electronics (Consumer & Office),19,1.190961438,0.0977813017,0.9110059243,0.6271447261,0.0456,0.07671603081,0.0342,0.08899407568,0.09212294252,0.1338396857
Electronics (General),160,1.01628018,0.08737029874,0.8376697773,0.4668778155,0.0456,0.1167176231,0.0342,0.1623302227,0.07873915231,0.1199446635
Engineering/Construction,52,1.007342512,0.08683761372,0.6716845948,0.4014317525,0.0456,0.07615384931,0.0342,0.3283154052,0.06955587424,0.110410604
Entertainment,120,1.330192744,0.1060794875,0.8343483045,0.54337168,0.0456,0.01931487658,0.0342,0.1656516955,0.09417252855,0.1359675615
Environmental & Waste Services,91,1.192014493,0.09784406377,0.748273581,0.461484627,0.0456,0.03234520076,0.0342,0.251726419,0.08182317151,0.1231464856
Farming/Agriculture,33,0.7168777778,0.06952591556,0.6014529494,0.2906766229,0.0418,0.09639018827,0.03135,0.3985470506,0.05431101701,0.09458342608
Financial Svcs. (Non-bank & Insurance),259,0.70254169,0.06867148472,0.08075538245,0.2732628339,0.0418,0.2038243179,0.03135,0.9192446176,0.03436391077,0.07387438337
Food Processing,83,0.8109510802,0.07513268438,0.6811915385,0.2745586364,0.0418,0.05174526701,0.03135,0.3188084615,0.06117439413,0.1017089694
Food Wholesalers,18,1.6240375,0.123592635,0.6903408464,0.409896289,0.0456,0.04705464897,0.0342,0.3096591536,0.09591138731,0.1377728409
Furn/Home Furnishings,30,0.8846393162,0.07952450325,0.6636982897,0.4351294608,0.0456,0.1696008561,0.0342,0.3363017103,0.06428179529,0.1049350666
Green & Renewable Energy,21,1.621486806,0.1234406136,0.4058404418,0.6947548117,0.0543,0,0.040725,0.5941595582,0.07429434117,0.1153300702
Healthcare Products,248,1.121940145,0.09366763264,0.8706064285,0.5632183404,0.0456,0.05458400377,0.0342,0.1293935715,0.08597290326,0.1274547282
Healthcare Support Services,111,1.153558111,0.09555206342,0.7341109723,0.4813217544,0.0456,0.08333654312,0.0342,0.2658890277,0.07923922293,0.1204638358
Heathcare Information and Technology,119,1.28907996,0.1036291656,0.8529547185,0.5301166041,0.0456,0.05649990236,0.0342,0.1470452815,0.09341993443,0.1351862199
Homebuilding,31,0.980905364,0.08526195969,0.6163537692,0.3407527777,0.0418,0.2435070447,0.03135,0.3836462308,0.06457883956,0.1052434573
Hospitals/Healthcare Facilities,34,1.116619841,0.09335054254,0.4170871784,0.4969144947,0.0456,0.06878434069,0.0342,0.5829128216,0.05887093289,0.09931752092
Hotel/Gaming,70,1.006990123,0.08681661136,0.6101136735,0.3501295932,0.0418,0.09553530757,0.03135,0.3898863265,0.06519093801,0.1058789366
Household Products,141,1.130185005,0.09415902627,0.8255989856,0.5464164834,0.0456,0.07140492766,0.0342,0.1744010144,0.08370211127,0.1250971968
Information Services,71,1.121299815,0.09362946896,0.8691081995,0.3711366108,0.0418,0.1037081407,0.03135,0.1308918005,0.08547759714,0.1269405024
Insurance (General),20,0.8723204678,0.07879029988,0.67633089,0.2462512232,0.0358,0.1397391105,0.02685,0.32366911,0.06197882925,0.1025441322
Insurance (Life),23,1.109457576,0.09292367152,0.4884467322,0.2764085332,0.0418,0.03470352467,0.03135,0.5115532678,0.06142545864,0.1019696241
Insurance (Prop/Cas.),50,0.7403933333,0.07092744267,0.7970964847,0.2389540579,0.0358,0.1595488383,0.02685,0.2029035153,0.0619839746,0.1025494741
Investments & Asset Management,172,1.103853578,0.09258967326,0.5975658491,0.3543338402,0.0418,0.07087198208,0.03135,0.4024341509,0.06794473735,0.1087379252
Machinery,127,1.170409649,0.09655641509,0.7878272832,0.3435538044,0.0418,0.1362323132,0.03135,0.2121727168,0.08272139284,0.1240790171
Metals & Mining,94,1.321810185,0.105579887,0.7053184009,0.7545796589,0.0843,0.03055192528,0.063225,0.2946815991,0.09309868119,0.1348526955
Office Equipment & Services,24,1.812921739,0.1348501357,0.6196772514,0.3946247908,0.0418,0.1371374103,0.03135,0.3803227486,0.09548667959,0.1373319102
Oil/Gas (Integrated),5,1.15786,0.095808456,0.8529034435,0.1761970182,0.0358,0.08905463498,0.02685,0.1470965565,0.08566490458,0.1271349646
Oil/Gas (Production and Exploration),301,1.453352209,0.1134197917,0.6443809414,0.5735837557,0.0456,0.0192612755,0.0342,0.3556190586,0.08524772393,0.1267018486
Oil/Gas Distribution,20,1.071167901,0.09064160691,0.4968267152,0.3603031717,0.0418,0.08054026655,0.03135,0.5031732848,0.0608076543,0.1013282209
Oilfield Svcs/Equip.,134,1.327863575,0.1059406691,0.6813020164,0.4929040421,0.0456,0.04219303532,0.0342,0.3186979836,0.08307706249,0.1244482725
Packaging & Container,27,1.074944907,0.09086671648,0.6009188421,0.2746534342,0.0418,0.1300742041,0.03135,0.3990811579,0.06711471635,0.1078761991
Paper/Forest Products,20,1.395969591,0.1099997876,0.6740100556,0.427185555,0.0456,0.08424972382,0.0342,0.3259899444,0.08528981906,0.1267455516
Power,51,0.5439564626,0.05921980517,0.5573933077,0.2053395161,0.0358,0.1358640664,0.02685,0.4426066923,0.04489271277,0.08480536292
Precious Metals,91,1.1914886,0.09781272058,0.8247606475,0.7454348362,0.0543,0.02076716926,0.040725,0.1752393525,0.08780870539,0.129360654
Publishing & Newspapers,33,1.2551681,0.1016080188,0.5878094138,0.3931578303,0.0418,0.1200277163,0.03135,0.4121905862,0.07264832484,0.1136211796
R.E.I.T.,238,0.6779410819,0.06720528848,0.5243697053,0.2122109601,0.0358,0.02421613042,0.02685,0.4756302947,0.04801109073,0.08804285619
Real Estate (Development),18,1.194668148,0.09800222163,0.5901387801,0.4078371836,0.0456,0,0.0342,0.4098612199,0.07185216524,0.1127946084
Real Estate (General/Diversified),11,1.364812222,0.1081428084,0.6673846412,0.2150207028,0.0358,0.07097830462,0.02685,0.3326153588,0.08110357179,0.1223993987
Real Estate (Operations & Services),59,1.346099093,0.1070275059,0.6048264041,0.4249128865,0.0456,0.08457133966,0.0342,0.3951735959,0.07824799854,0.1194347487
Recreation,72,0.9785839506,0.08512360346,0.733588796,0.4273143059,0.0456,0.07432845387,0.0342,0.266411204,0.07155698495,0.1124881528
Reinsurance,2,0.9701222222,0.08461928444,0.770002178,0.162720707,0.0358,0.09804608779,0.02685,0.229997822,0.07133247484,0.1122550669
Restaurant/Dining,78,0.798081746,0.07436567206,0.7378532836,0.3817935327,0.0418,0.08961612468,0.03135,0.2621467164,0.06308925488,0.1036969737
Retail (Automotive),24,1.154252381,0.0955934419,0.5817073406,0.3321975863,0.0418,0.08889694678,0.03135,0.4182926594,0.06872088174,0.1095437166
Retail (Building Supply),17,1.117695425,0.09341464732,0.814052528,0.4693511424,0.0456,0.2008450702,0.0342,0.185947472,0.08240383335,0.1237493275
Retail (Distributors),88,1.439373442,0.1125866571,0.6037434833,0.4458973847,0.0456,0.08152242951,0.0342,0.3962565167,0.08152543342,0.1228373746
Retail (General),19,0.9121962963,0.08116689926,0.7457881294,0.3963497975,0.0418,0.1084909448,0.03135,0.2542118706,0.06850285211,0.1093173587
Retail (Grocery and Food),12,0.451789899,0.05372667798,0.5451533416,0.3306326695,0.0418,0.03011874823,0.03135,0.4548466584,0.04354872077,0.08341003332
Retail (Online),79,1.416140097,0.1112019498,0.8928564182,0.5422361594,0.0456,0.0385247269,0.0342,0.1071435818,0.1029516851,0.1450820628
Retail (Special Lines),91,1.070511905,0.09060250952,0.6595336446,0.4916613313,0.0456,0.1381319782,0.0342,0.3404663554,0.07139935267,0.1123244993
Rubber& Tires,4,0.4185861111,0.05174773222,0.4552748118,0.2903045258,0.0418,0.25,0.03135,0.5447251882,0.0406365737,0.0803866485
Semiconductor,72,1.335800966,0.1064137376,0.8761099391,0.4265644751,0.0456,0.1019455939,0.0342,0.1238900609,0.09746717324,0.1393880545
Semiconductor Equip,41,1.388494851,0.1095542931,0.8578403959,0.486600767,0.0456,0.1377194949,0.0342,0.1421596041,0.09884195664,0.1408153517
Shipbuilding & Marine,9,1.077319753,0.09100825728,0.6381446783,0.5588669589,0.0456,0,0.0342,0.3618553217,0.07045188707,0.1113408426
Shoe,10,0.7549666667,0.07179601333,0.9308277643,0.3864995878,0.0418,0.1856900439,0.03135,0.06917223568,0.06899827217,0.1098317027
Software (Entertainment),92,1.257575375,0.1017514924,0.9785725691,0.6558011729,0.0543,0.03474193603,0.040725,0.02142743095,0.1004438514,0.1424784354
Software (Internet),44,1.457276577,0.113653684,0.8220202453,0.5190051922,0.0456,0.008463490549,0.0342,0.1779797547,0.09951253678,0.1415115465
Software (System & Application),355,1.228314467,0.1000075422,0.8859628938,0.5067555027,0.0456,0.04620112984,0.0342,0.1140371062,0.09250304054,0.1342343026
Steel,37,1.618527124,0.1232642166,0.6655563391,0.4431655479,0.0456,0.04178783173,0.0342,0.3344436609,0.09347725395,0.1352457289
Telecom (Wireless),21,1.262964583,0.1020726892,0.4634413218,0.4448568761,0.0456,0.02380952381,0.0342,0.5365586782,0.06565500878,0.1063607339
Telecom. Equipment,98,1.089850617,0.09175509679,0.8470965716,0.4572426983,0.0456,0.06197364378,0.0342,0.1529034284,0.08295472517,0.1243212622
Telecom. Services,67,1.217943678,0.09938944322,0.5285436056,0.5423473035,0.0456,0.03722495649,0.0342,0.4714563944,0.06865546337,0.1094757994
Tobacco,17,1.291080952,0.1037484248,0.7984994257,0.4808477576,0.0456,0.07271331177,0.0342,0.2015005743,0.08973437723,0.1313598823
Transportation,19,1.141887582,0.09485649987,0.7019122225,0.338167927,0.0418,0.0529310789,0.03135,0.2980877775,0.07592598847,0.1170240429
Transportation (Railroads),10,2.468463889,0.1739204478,0.7878288681,0.2012279124,0.0358,0,0.02685,0.2121711319,0.1427163444,0.1863656465
Trucking,28,1.218820889,0.09944172498,0.4923777493,0.4151135781,0.0456,0.01234836468,0.0342,0.5076222507,0.0663235737,0.1070548366
