ticker,industry
ACHN,Advertising
ADMG,Advertising
ADTM,Advertising
ADTH,Advertising
ADV,Advertising
AIAD,Advertising
ARMV,Advertising
BGTK,Advertising
BOC,Advertising
BMTM,Advertising
CDLX,Advertising
CCO,Advertising
CMGR,Advertising
CMGO,Advertising
SCOR,Advertising
CREX,Advertising
DEWM,Advertising
DBMM,Advertising
DMS,Advertising
DRCT,Advertising
EEX,Advertising
ENGA,Advertising
FLNT,Advertising
GMGZ,Advertising
GHST,Advertising
HHS,Advertising
HAFG,Advertising
CTV,Advertising
ISIG,Advertising
IAS,Advertising
INCC,Advertising
IDIG,Advertising
LNTO,Advertising
VYBE.D,Advertising
LYLT,Advertising
MRPT,Advertising
MGNI,Advertising
MCHX,Advertising
MMND,Advertising
MOBQ,Advertising
NCMI,Advertising
NXMR,Advertising
NXTP,Advertising
OMC,Advertising
PUBM,Advertising
SNNC,Advertising
SGRP,Advertising
SPTY,Advertising
STGW,Advertising
SWAG,Advertising
SMPP,Advertising
TTGT,Advertising
IPG,Advertising
TTD,Advertising
THRY,Advertising
TGL,Advertising
TRKA,Advertising
UCPA,Advertising
RNWR,Aerospace/Defense
AIR,Aerospace/Defense
AJRD,Aerospace/Defense
AVAV,Aerospace/Defense
ASLE,Aerospace/Defense
AIRI,Aerospace/Defense
ADFS,Aerospace/Defense
AERG,Aerospace/Defense
ACHR,Aerospace/Defense
ASTR,Aerospace/Defense
ATRO,Aerospace/Defense
ASTC,Aerospace/Defense
AXON,Aerospace/Defense
BANT,Aerospace/Defense
BUKS,Aerospace/Defense
BWXT,Aerospace/Defense
BYRN,Aerospace/Defense
CDRE,Aerospace/Defense
CVU,Aerospace/Defense
CW,Aerospace/Defense
DCO,Aerospace/Defense
ETCC,Aerospace/Defense
EVEX,Aerospace/Defense
GD,Aerospace/Defense
GIGA,Aerospace/Defense
GDSI,Aerospace/Defense
GSPT,Aerospace/Defense
HEI,Aerospace/Defense
HXL,Aerospace/Defense
HWM,Aerospace/Defense
HII,Aerospace/Defense
ISSC,Aerospace/Defense
IRBL,Aerospace/Defense
KGHI,Aerospace/Defense
KAMN,Aerospace/Defense
KTOS,Aerospace/Defense
LHX,Aerospace/Defense
DRS,Aerospace/Defense
LMT,Aerospace/Defense
MAXR,Aerospace/Defense
MRCY,Aerospace/Defense
MNTS,Aerospace/Defense
MOG.A,Aerospace/Defense
MNDP,Aerospace/Defense
NPK,Aerospace/Defense
NGL,Aerospace/Defense
NOC,Aerospace/Defense
OPXS,Aerospace/Defense
PKE,Aerospace/Defense
PSN,Aerospace/Defense
PSSR,Aerospace/Defense
PMBY,Aerospace/Defense
RTX,Aerospace/Defense
RDW,Aerospace/Defense
RKLB,Aerospace/Defense
SAFS,Aerospace/Defense
SATL,Aerospace/Defense
SIDU,Aerospace/Defense
SIF,Aerospace/Defense
SASI,Aerospace/Defense
SPR,Aerospace/Defense
TIKK,Aerospace/Defense
LLAP,Aerospace/Defense
TXT,Aerospace/Defense
BA,Aerospace/Defense
TDG,Aerospace/Defense
TGI,Aerospace/Defense
UMAV,Aerospace/Defense
UATG,Aerospace/Defense
UITA,Aerospace/Defense
VVX,Aerospace/Defense
SPCE,Aerospace/Defense
VORB,Aerospace/Defense
VTSI,Aerospace/Defense
WWD,Aerospace/Defense
XNNH.Q,Aerospace/Defense
XERI,Aerospace/Defense
ALK,Air Transport
ALGT,Air Transport
AAL,Air Transport
BLDE,Air Transport
DAL,Air Transport
ULCC,Air Transport
JET,Air Transport
HRBR,Air Transport
HA,Air Transport
JBLU,Air Transport
JOBY,Air Transport
MESA,Air Transport
SKAS,Air Transport
SKYH,Air Transport
SKYW,Air Transport
LUV,Air Transport
SAVE,Air Transport
JETR,Air Transport
SNCY,Air Transport
UAL,Air Transport
UP,Air Transport
AHRO,Apparel
BANI,Apparel
CRI,Apparel
CTHR,Apparel
CGAC,Apparel
COLM,Apparel
CRWS,Apparel
CULP,Apparel
DLA,Apparel
FORD,Apparel
FOSL,Apparel
GIII,Apparel
HBI,Apparel
ILXP,Apparel
JRSH,Apparel
JLMC,Apparel
KTB,Apparel
LAKE,Apparel
LEVI,Apparel
MOV,Apparel
NICH,Apparel
OXM,Apparel
PLBY,Apparel
PVH,Apparel
RL,Apparel
SAML,Apparel
SGC,Apparel
TALN,Apparel
TPR,Apparel
TBLT,Apparel
UAA,Apparel
UFI,Apparel
UNIR,Apparel
DKGR,Apparel
VFC,Apparel
VRA,Apparel
VNCE,Apparel
VTMB,Apparel
ZMRK,Apparel
FUV,Auto & Truck
AYRO,Auto & Truck
GOEV,Auto & Truck
CSBI,Auto & Truck
CENN,Auto & Truck
CMOT,Auto & Truck
CNVT,Auto & Truck
ELCR,Auto & Truck
ELMS.Q,Auto & Truck
ELEK,Auto & Truck
ELIO,Auto & Truck
EVTV,Auto & Truck
FFIE,Auto & Truck
FSR,Auto & Truck
F,Auto & Truck
GM,Auto & Truck
HOG,Auto & Truck
LFEV,Auto & Truck
LVWR,Auto & Truck
RIDE,Auto & Truck
LCID,Auto & Truck
MULN,Auto & Truck
PEV,Auto & Truck
RIVN,Auto & Truck
RWGI,Auto & Truck
TSLA,Auto & Truck
THO,Auto & Truck
USLG,Auto & Truck
VLCN,Auto & Truck
WGO,Auto & Truck
WKHS,Auto & Truck
APTV,Auto Parts
AXL,Auto Parts
BWA,Auto Parts
CDTI,Auto Parts
NCRE,Auto Parts
AFTC,Auto Parts
WARM,Auto Parts
