Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital
Advertising,52,1.181269231,0.08962298077,0.663914008,0.5152499603,0.0367,0.04125584411,0.02202,0.336085992,0.06690256591
Aerospace/Defense,93,1.159851836,0.08839148055,0.8406527816,0.5014502696,0.0367,0.1486852451,0.02202,0.1593472184,0.07781536974
Air Transport,22,0.9785618132,0.07796730426,0.5509448634,0.5331995992,0.0367,0.1870753244,0.02202,0.4490551366,0.0528438799
Apparel,64,0.9926627868,0.07877811024,0.8283092165,0.562385907,0.0367,0.1115753317,0.02202,0.1716907835,0.06903326582
Auto & Truck,22,1.094998397,0.08466240785,0.4855644874,0.4352150937,0.0317,0.04452580197,0.01902,0.5144355126,0.05089362212
Auto Parts,75,1.348167857,0.09921965179,0.7773413159,0.5389215562,0.0367,0.1105286862,0.02202,0.2226586841,0.08203047891
Bank (Money Center),13,0.8068164336,0.06809194493,0.3138134728,0.3997819159,0.0317,0.2642646201,0.01902,0.6861865272,0.03441943746
Banks (Regional),676,0.5260889463,0.05195011441,0.562773425,0.3740592632,0.0317,0.2065954671,0.01902,0.437226575,0.03755219327
Beverage (Alcoholic),22,1.055526018,0.08239274604,0.8204950281,0.5513693655,0.0367,0.08537953102,0.02202,0.1795049719,0.07155553796
Beverage (Soft),46,1.137529106,0.0871079236,0.8127256823,0.6194286642,0.0367,0.05552861098,0.02202,0.1872743177,0.07491862712
Broadcasting,28,1.296156355,0.09622899038,0.5845921875,0.6212311973,0.0367,0.1833623754,0.02202,0.4154078125,0.06540199602
Brokerage & Investment Banking,46,1.159461091,0.08836901275,0.2478082423,0.4477209443,0.0317,0.1399053402,0.01902,0.7521917577,0.03620525695
Building Materials,39,1.115878846,0.08586303365,0.7562410859,0.4352378523,0.0317,0.1745357077,0.01902,0.2437589141,0.06956944836
Business & Consumer Services,177,1.193846462,0.09034617157,0.7668225767,0.5276735882,0.0367,0.1329723437,0.02202,0.2331774233,0.07441405094
Cable TV,18,0.9130128205,0.07419823718,0.6905959948,0.5283214764,0.0367,0.2117726162,0.02202,0.3094040052,0.05805408161
Chemical (Basic),46,0.9350560897,0.07546572516,0.7127163307,0.5032235868,0.0367,0.1088094109,0.02202,0.2872836693,0.06011164113
Chemical (Diversified),10,1.172764423,0.08913395433,0.7507789314,0.4114138045,0.0317,0.2246934586,0.01902,0.2492210686,0.07166007971
