Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,49,1.340421523,0.07193387257,0.6602092492,0.5669681512,0.03578,0.05758560332,0.0261194,0.3397907508,0.05636653854,0.05636653854
Aerospace/Defense,73,1.281048368,0.06941645082,0.7724905007,0.382321924,0.0316,0.06829798052,0.023068,0.2275094993,0.05887173798,0.05887173798
Air Transport,21,1.582907606,0.0822152825,0.3947400786,0.4019309432,0.03578,0.05324955671,0.0261194,0.6052599214,0.04826269307,0.04826269307
Apparel,39,1.226582573,0.06710710108,0.7599001552,0.4348704704,0.03578,0.1206038369,0.0261194,0.2400998448,0.05726596041,0.05726596041
Auto & Truck,26,1.129306322,0.06298258804,0.8342950363,0.5477688003,0.03578,0.03883579619,0.0261194,0.1657049637,0.05687417481,0.05687417481
Auto Parts,38,1.398068885,0.07437812071,0.7594362681,0.3714041996,0.0316,0.1361713732,0.023068,0.2405637319,0.06203476659,0.06203476659
Bank (Money Center),7,1.11721419,0.06246988165,0.3698307706,0.2223097622,0.025,0.1468949671,0.01825,0.6301692294,0.03460387291,0.03460387291
Banks (Regional),563,0.6979881195,0.04469469627,0.743083478,0.1967849117,0.025,0.1929396682,0.01825,0.256916522,0.03790061687,0.03790061687
Beverage (Alcoholic),21,0.819364645,0.04984106095,0.8236143008,0.3786599583,0.0316,0.0793478542,0.023068,0.1763856992,0.04511867587,0.04511867587
Beverage (Soft),32,1.215686536,0.06664510912,0.8572865565,0.4826538886,0.03578,0.04527469178,0.0261194,0.1427134435,0.06086154562,0.06086154562
Broadcasting,28,1.352095287,0.07242884017,0.4612072407,0.4876940963,0.03578,0.1154460398,0.0261194,0.5387927593,0.04747764912,0.04747764912
Brokerage & Investment Banking,31,1.174981276,0.0649192061,0.3540031777,0.317393609,0.0316,0.1476029624,0.023068,0.6459968223,0.03788345995,0.03788345995
Building Materials,44,1.187134265,0.06543449283,0.8421279816,0.3453500898,0.0316,0.1703136277,0.023068,0.1578720184,0.0587460091,0.0587460091
Business & Consumer Services,160,1.089194303,0.06128183846,0.8170550065,0.4117343663,0.03578,0.1017459058,0.0261194,0.1829449935,0.05484904639,0.05484904639
Cable TV,11,0.9341287425,0.05470705868,0.624550141,0.2007319735,0.025,0.1808185537,0.01825,0.375449859,0.04101926114,0.04101926114
Chemical (Basic),35,1.162424435,0.06438679604,0.6908134038,0.4501887769,0.03578,0.1001755496,0.0261194,0.3091865962,0.05255503011,0.05255503011
Chemical (Diversified),4,1.502820405,0.07881958515,0.6784351559,0.3729159146,0.0316,0.0389716835,0.023068,0.3215648441,0.06089183537,0.06089183537
Chemical (Specialty),81,1.102746636,0.06185645736,0.8370442409,0.4072372092,0.03578,0.1012176442,0.0261194,0.1629557591,0.05603289805,0.05603289805
Coal & Related Energy,18,0.9156286173,0.05392265337,0.7059725411,0.5856971633,0.03578,0.007373859056,0.0261194,0.2940274589,0.04574773344,0.04574773344
Computer Services,83,1.19882272,0.06593008331,0.7877696081,0.4844247672,0.03578,0.08191187973,0.0261194,0.2122303919,0.05748104639,0.05748104639
Computers/Peripherals,46,1.286747132,0.06965807839,0.9295707262,0.5127376397,0.03578,0.04955132971,0.0261194,0.07042927376,0.06659168089,0.06659168089
Construction Supplies,48,1.108575141,0.06210358598,0.7816058162,0.4000644723,0.03578,0.1300375213,0.0261194,0.2183941838,0.05424484906,0.05424484906
Diversified,22,0.754388484,0.04708607172,0.8155210177,0.3011098399,0.0316,0.07236611707,0.023068,0.1844789823,0.04265524229,0.04265524229
Drugs (Biotechnology),581,0.9929490273,0.05720103876,0.8673066026,0.5079855472,0.03578,0.005336013773,0.0261194,0.1326933974,0.05307671051,0.05307671051
Drugs (Pharmaceutical),298,1.076295895,0.06073494594,0.8719114884,0.5616646954,0.03578,0.02178774851,0.0261194,0.1280885116,0.05630109218,0.05630109218
Education,35,1.126079034,0.06284575105,0.7955220127,0.4150155657,0.03578,0.07643731903,0.0261194,0.2044779873,0.05533602071,0.05533602071
Electrical Equipment,104,1.245405472,0.06790519203,0.8795740859,0.5765907926,0.03578,0.04983138214,0.0261194,0.1204259141,0.06287309983,0.06287309983
Electronics (Consumer & Office),16,0.97597158,0.05648119499,0.929230359,0.5253777857,0.03578,0.0487142575,0.0261194,0.07076964096,0.05433250166,0.05433250166
Electronics (General),137,1.085281366,0.06111592994,0.8869141534,0.4344553674,0.03578,0.06662302423,0.0261194,0.1130858466,0.05715831772,0.05715831772
Engineering/Construction,48,1.05808881,0.05996296556,0.7962224769,0.3635604575,0.0316,0.1353234922,0.023068,0.2037775231,0.05244460086,0.05244460086
Entertainment,108,1.01228233,0.0580207708,0.8678049142,0.5962936136,0.03578,0.02640286279,0.0261194,0.1321950858,0.05380356635,0.05380356635
Environmental & Waste Services,58,1.240333775,0.06769015206,0.8273691872,0.4301364051,0.03578,0.05902661659,0.0261194,0.1726308128,0.06051375935,0.06051375935
Farming/Agriculture,36,1.030317335,0.05878545501,0.7308908208,0.4644561585,0.03578,0.07648943852,0.0261194,0.2691091792,0.04999471976,0.04999471976
Financial Svcs. (Non-bank & Insurance),223,0.9272313294,0.05441460837,0.1210107424,0.2852128249,0.0316,0.1559653364,0.023068,0.8789892576,0.02686127635,0.02686127635
Food Processing,92,0.7508754857,0.04693712059,0.7661772965,0.2768984921,0.0316,0.1053552666,0.023068,0.2338227035,0.04135597828,0.04135597828
Food Wholesalers,15,1.40155985,0.07452613765,0.6806228627,0.5400910545,0.03578,0.08603843176,0.0261194,0.3193771373,0.05906613235,0.05906613235
Furn/Home Furnishings,32,1.108801449,0.06211318143,0.7772958891,0.4477037423,0.03578,0.1173665124,0.0261194,0.2227041109,0.05409721834,0.05409721834
Green & Renewable Energy,20,1.588113927,0.0824360305,0.6001437322,0.8175586129,0.081225,0.01434501845,0.05929425,0.3998562678,0.07318264452,0.07318264452
Healthcare Products,244,0.9381281174,0.05487663218,0.9206836861,0.4381219213,0.03578,0.04149800429,0.0261194,0.07931631392,0.05259571452,0.05259571452
Healthcare Support Services,131,1.057838047,0.0599523332,0.8028844676,0.4685718988,0.03578,0.07723515749,0.0261194,0.1971155324,0.05328333656,0.05328333656
Heathcare Information and Technology,142,0.9416820923,0.05502732072,0.9113590967,0.4628432824,0.03578,0.03567639284,0.0261194,0.08864090334,0.05246489651,0.05246489651
Homebuilding,29,1.685212672,0.08655301731,0.81986714,0.3947491471,0.0316,0.1862771689,0.023068,0.18013286,0.07511727957,0.07511727957
Hospitals/Healthcare Facilities,31,1.413523423,0.07503339315,0.5848794482,0.5231349771,0.03578,0.08987027367,0.0261194,0.4151205518,0.05472818932,0.05472818932
Hotel/Gaming,66,1.794407068,0.09118285969,0.6848811553,0.43867344,0.03578,0.06019300123,0.0261194,0.3151188447,0.07068013745,0.07068013745
Household Products,118,0.979633749,0.05663647096,0.8882439512,0.5856766587,0.03578,0.05871169714,0.0261194,0.1117560488,0.05322600368,0.05322600368
Information Services,79,1.25050924,0.06812159178,0.9060434917,0.4644083896,0.03578,0.1121768527,0.0261194,0.09395650827,0.0641752125,0.0641752125
